heart_empty: .word 12, 12
.byte 199,175,175,175,199,199,199,199,175,175,175,199,
175,175,175,175,175,199,199,175,175,175,175,175,
175,175,175,175,175,175,175,175,175,175,175,175,
175,175,175,175,175,175,175,175,175,175,175,175,
175,175,175,175,175,175,175,175,175,175,175,175,
175,175,175,175,175,175,175,175,175,175,175,175,
175,175,175,175,175,175,175,175,175,175,175,175,
199,175,175,175,175,175,175,175,175,175,175,199,
199,199,175,175,175,175,175,175,175,175,199,199,
199,199,199,175,175,175,175,175,175,199,199,199,
199,199,199,199,175,175,175,175,199,199,199,199,
199,199,199,199,199,175,175,199,199,199,199,199,


